Tree ID,DBH GT,DBH Est,Error
VAT-0723M-01_tree11,0.318,0.315,0.003
VAT-0723M-01_tree12,0.282,0.349,-0.067
VAT-0723M-01_tree13,0.297,0.364,-0.067
VAT-0723M-01_tree15,0.257,0.301,-0.044
VAT-0723M-01_tree24,0.259,0.243,0.016
VAT-0723M-01_tree31,0.239,0.201,0.038
VAT-0723M-01_tree32,0.358,0.305,0.053
VAT-0723M-01_tree38,0.307,0.286,0.021
VAT-0723M-01_tree40,0.267,0.269,-0.002
VAT-0723M-01_tree50,0.264,0.239,0.025
VAT-0723M-01_tree58,0.34,0.274,0.066
VAT-0723M-02_tree7,0.376,0.406,-0.03
VAT-0723M-02_tree28,0.345,0.302,0.043
VAT-0723M-02_tree29,0.318,0.307,0.011
VAT-0723M-02_tree30,0.335,0.386,-0.051
VAT-0723M-02_tree34,0.277,0.351,-0.074
VAT-0723M-02_tree38,0.305,0.293,0.012
VAT-0723M-02_tree39,0.335,0.319,0.016
VAT-0723M-03_tree2,0.343,0.336,0.007
VAT-0723M-03_tree4,0.29,0.276,0.014
VAT-0723M-03_tree7,0.236,0.233,0.003
VAT-0723M-03_tree8,0.31,0.345,-0.035
VAT-0723M-03_tree10,0.343,0.33,0.013
VAT-0723M-03_tree11,0.284,0.225,0.059
VAT-0723M-03_tree13,0.328,0.346,-0.018
VAT-0723M-03_tree14,0.315,0.298,0.017
VAT-0723M-03_tree22,0.33,0.366,-0.036
VAT-0723M-03_tree29,0.31,0.265,0.045
VAT-0723M-03_tree31,0.307,0.299,0.008
VAT-0723M-03_tree35,0.251,0.246,0.005
VAT-0723M-03_tree41,0.236,0.194,0.042
VAT-0723M-03_tree50,0.3,0.342,-0.042
VAT-0723M-03_tree52,0.279,0.226,0.053
VAT-0723M-04_tree3,0.249,0.207,0.042
VAT-0723M-04_tree5,0.239,0.218,0.021
VAT-0723M-04_tree9,0.201,0.249,-0.048
VAT-0723M-04_tree11,0.371,0.336,0.035
VAT-0723M-04_tree47,0.226,0.278,-0.052
VAT-0723M-04_tree48,0.251,0.258,-0.007
VAT-0723M-04_tree60,0.353,0.419,-0.066
VAT-0723M-05_tree3,0.257,0.243,0.014
VAT-0723M-05_tree4,0.295,0.285,0.01
VAT-0723M-05_tree5,0.338,0.378,-0.04
VAT-0723M-05_tree8,0.384,0.33,0.054
VAT-0723M-05_tree10,0.381,0.363,0.018
VAT-0723M-05_tree12,0.315,0.311,0.004
VAT-0723M-05_tree13,0.325,0.301,0.024
VAT-0723M-05_tree18,0.384,0.45,-0.066
VAT-0723M-05_tree23,0.269,0.236,0.033
VAT-0723M-05_tree34,0.312,0.29,0.022
VAT-0723M-05_tree38,0.34,0.386,-0.046
VAT-0723M-05_tree39,0.198,0.252,-0.054
VAT-0723M-05_tree40,0.371,0.327,0.044
VAT-0723M-05_tree41,0.384,0.36,0.024
VAT-0723M-05_tree42,0.45,0.407,0.043
VAT-0723M-05_tree43,0.399,0.378,0.021
VAT-0723M-05_tree57,0.328,0.303,0.025
VAT-0723M-05_tree96,0.305,0.288,0.017
VAT-0723M-05_tree97,0.335,0.314,0.021
VAT-0723M-05_tree103,0.373,0.4,-0.027
VAT-0723M-05_tree108,0.368,0.341,0.027
VAT-0723M-05_tree116,0.343,0.321,0.022
VAT-0723M-05_tree118,0.358,0.294,0.064
VAT-0723M-05_tree122,0.34,0.309,0.031
VAT-0723M-05_tree123,0.376,0.35,0.026
VAT-0723M-05_tree127,0.325,0.323,0.002
VAT-0723M-06_tree0,0.282,0.252,0.03
VAT-0723M-06_tree1,0.264,0.245,0.019
VAT-0723M-06_tree2,0.274,0.27,0.004
VAT-0723M-06_tree5,0.257,0.274,-0.017
VAT-0723M-06_tree6,0.292,0.333,-0.041
VAT-0723M-06_tree14,0.325,0.318,0.007
VAT-0723M-06_tree18,0.267,0.238,0.029
VAT-0723M-06_tree19,0.328,0.316,0.012
VAT-0723M-06_tree22,0.211,0.208,0.003
VAT-0723M-06_tree24,0.244,0.235,0.009
VAT-0723M-06_tree25,0.272,0.255,0.017
